type	count_UCE_noncoding
OV	7
NSCLC	26
HCC	11
HCC	17
RCC	3
RCC	2
PNET	3
Lymphoma	9
CNSC	0
CRC	7
RCC	5
CNSC	0
OV	5
HCC	7
Lymphoma	1
PRAD	2
PRAD	3
CNSC	4
BRCA	12
CNSC	0
OV	7
CLL	1
CLL	1
Lymphoma	2
HCC	6
HNSC	1
RCC	7
PRAD	0
CNSC	1
CNSC	1
THCA	2
EGAC	18
PRAD	1
CNSC	0
PACA	5
PACA	2
HCC	10
RCC	15
Lymphoma	13
PACA	4
PRAD	1
Lymphoma	25
NSCLC	15
OV	4
CNSC	1
HCC	5
OV	6
HCC	9
CNSC	2
CRC	11
PRAD	0
HCC	1
OV	14
PRAD	1
CNSC	3
CESC	4
PRAD	0
PACA	0
CLL	4
PNET	1
CNSC	1
PNET	1
HCC	5
BLCA	5
PRAD	2
PNET	9
CLL	6
CNSC	0
HCC	4
NSCLC	5
UCEC	14
PACA	12
HCC	8
CRC	10
UCEC	13
Lymphoma	2
BRCA	10
EGAC	19
PRAD	2
HCC	7
CNSC	0
BRCA	2
RCC	5
CNSC	0
CLL	0
RCC	7
Lymphoma	8
RCC	3
HCC	16
EGAC	24
PACA	4
OV	1
BRCA	7
HCC	14
CNSC	2
PACA	2
THCA	1
CNSC	0
CNSC	0
PACA	4
CLL	0
PRAD	1
CLL	2
CNSC	6
CLL	5
HCC	4
PACA	1
BLCA	14
UCEC	5
CNSC	0
EGAC	12
EGAC	14
Lymphoma	14
EGAC	31
HCC	1
NSCLC	42
HCC	10
RCC	3
CNSC	3
CRC	688
BLCA	36
OV	4
HCC	5
RCC	0
CESC	2
PACA	0
CNSC	0
EGAC	5
CNSC	0
HCC	3
PNET	0
RCC	2
PACA	2
UCEC	8
OV	1
NSCLC	43
HNSC	8
HCC	38
BSTC	0
PRAD	0
EGAC	17
HCC	11
PRAD	1
PACA	5
PACA	2
NSCLC	33
CNSC	1
PNET	0
CNSC	3
UCEC	13
BRCA	3
BLCA	12
EGAC	10
Cholangio	1
RCC	0
PACA	5
CNSC	4
PRAD	0
BTCA	6
BRCA	9
BRCA	15
CNSC	11
BRCA	24
HCC	17
PRAD	1
HCC	5
Lymphoma	20
UCEC	4
HNSC	27
HCC	10
CLL	2
RCC	6
OV	12
RCC	0
HCC	5
RCC	1
EGAC	12
OV	2
Lymphoma	14
PRAD	2
HCC	15
EGAC	10
EGAC	3
CNSC	0
CNSC	1
EGAC	6
RCC	0
Lymphoma	12
PACA	3
HCC	5
BRCA	5
CLL	1
NSCLC	1
PACA	4
CNSC	0
HCC	8
PNET	2
RCC	0
BSTC	1
HCC	11
BRCA	8
EGAC	9
PACA	4
RCC	0
PRAD	2
CRC	9
BSTC	1
Lymphoma	9
CLL	1
PACA	3
HCC	8
PRAD	4
Myeloid	1
PRAD	1
HNSC	3
RCC	0
HCC	6
RCC	2
CESC	1
NSCLC	24
PACA	6
EGAC	40
PRAD	2
OV	8
UCEC	5
RCC	4
CRC	14
HNSC	3
CNSC	0
CLL	0
HCC	17
PRAD	2
EGAC	9
OV	3
RCC	10
PACA	4
EGAC	27
Lymphoma	14
CNSC	0
HCC	5
EGAC	3
EGAC	9
BSTC	4
HCC	2
OV	11
HNSC	11
PRAD	0
Lymphoma	3
PACA	5
OV	3
RCC	7
EGAC	14
HCC	10
RCC	2
PACA	4
RCC	4
EGAC	0
BTCA	6
PACA	2
PNET	1
EGAC	3
HCC	10
RCC	8
PACA	3
RCC	5
RCC	1
RCC	1
PACA	4
PRAD	1
HCC	9
CRC	3
CNSC	1
CESC	4
Myeloid	0
CNSC	0
BRCA	5
PRAD	2
HCC	12
CNSC	0
NSCLC	28
CNSC	4
PACA	7
CLL	2
CNSC	1
HNSC	1
CLL	3
HCC	7
BRCA	6
BRCA	6
RCC	4
CNSC	2
EGAC	58
HCC	8
NSCLC	29
PRAD	0
CLL	3
THCA	0
CLL	0
RCC	3
PRAD	0
CNSC	1
CRC	6
Lymphoma	1
PNET	4
CNSC	0
PACA	13
CNSC	0
BRCA	0
CNSC	0
Lymphoma	5
HCC	1
BRCA	3
RCC	1
PRAD	2
PRAD	2
HNSC	2
HCC	10
NSCLC	24
BLCA	7
EGAC	10
Lymphoma	25
PACA	7
CNSC	0
CLL	1
Lymphoma	3
CNSC	1
PNET	1
PRAD	1
BLCA	19
OV	10
PRAD	3
Lymphoma	0
NSCLC	20
EGAC	15
THCA	4
CLL	0
RCC	9
THCA	1
HCC	4
CNSC	1
OV	6
CNSC	4
CLL	1
HCC	3
UCEC	38
PACA	8
CNSC	0
BSTC	5
Myeloid	1
EGAC	12
PACA	1
CNSC	0
HCC	6
UCEC	202
PRAD	0
CNSC	3
CNSC	1
THCA	1
RCC	5
CNSC	0
CNSC	2
HCC	6
PRAD	3
Lymphoma	1
OV	2
PNET	1
PNET	7
BRCA	6
RCC	2
CRC	13
HCC	4
PRAD	4
RCC	4
HCC	9
Lymphoma	4
PRAD	4
PACA	2
UCEC	8
CESC	3
PRAD	4
PRAD	4
HCC	12
PACA	2
PNET	1
PNET	4
EGAC	4
PRAD	2
PNET	0
RCC	3
RCC	5
HNSC	1
EGAC	21
PACA	7
HCC	2
PACA	5
PNET	0
PACA	0
HCC	18
CNSC	1
RCC	7
CNSC	1
HCC	5
PRAD	0
CNSC	0
CRC	14
PACA	11
PACA	4
BLCA	29
BRCA	2
EGAC	25
OV	6
UCEC	3
HCC	15
NSCLC	13
NSCLC	30
CRC	14
RCC	7
PNET	4
PACA	4
CNSC	4
PACA	1
HCC	4
CNSC	0
HNSC	4
NSCLC	39
THCA	1
EGAC	10
HCC	11
OV	2
HCC	13
EGAC	15
CESC	2
RCC	8
Lymphoma	10
HCC	3
EGAC	2
CNSC	1
RCC	7
RCC	1
HCC	10
CNSC	3
Lymphoma	12
PRAD	1
CNSC	0
RCC	1
EGAC	15
CRC	6
RCC	4
BTCA	5
CNSC	0
PACA	2
CNSC	1
HCC	16
OV	11
PACA	2
PACA	13
OV	31
PACA	2
EGAC	17
Lymphoma	12
CNSC	0
CNSC	0
PRAD	1
Cholangio	5
HNSC	4
CLL	4
NSCLC	31
PACA	3
RCC	3
CNSC	0
RCC	2
RCC	2
EGAC	2
PRAD	1
NSCLC	127
Lymphoma	9
Lymphoma	4
Lymphoma	2
CNSC	1
HCC	6
CNSC	0
PRAD	3
HCC	13
RCC	5
CNSC	0
NSCLC	3
PNET	2
OV	8
CLL	2
RCC	2
HCC	2
HCC	10
PACA	3
HCC	12
HNSC	0
PRAD	1
HNSC	0
CLL	3
PACA	1
RCC	1
PRAD	2
HCC	4
PACA	3
RCC	10
CNSC	2
EGAC	3
HCC	3
CNSC	0
HNSC	11
HCC	2
CNSC	1
HCC	4
RCC	15
RCC	2
RCC	5
OV	5
HCC	2
PACA	2
PRAD	1
NSCLC	9
CLL	2
HCC	1
NSCLC	28
CNSC	3
EGAC	0
RCC	8
BSTC	4
RCC	0
CLL	1
CNSC	0
HCC	14
RCC	0
EGAC	1
BRCA	2
CNSC	1
CLL	4
Lymphoma	8
BLCA	1
BRCA	0
CNSC	2
OV	4
PRAD	3
HCC	48
RCC	2
PACA	5
UCEC	3
PNET	2
OV	13
HNSC	21
EGAC	6
HCC	15
THCA	0
EGAC	379
CNSC	0
RCC	5
HCC	10
CNSC	2
EGAC	9
OV	8
RCC	14
CNSC	0
PACA	3
PNET	8
CLL	1
EGAC	84
HNSC	3
PACA	1
RCC	2
CLL	1
HCC	6
PRAD	1
PACA	6
EGAC	10
PACA	2
CNSC	3
BSTC	3
CNSC	1
EGAC	10
BSTC	4
HCC	7
CNSC	2
PACA	5
RCC	3
UCEC	3
CNSC	2
BRCA	5
CNSC	2
CNSC	0
HCC	9
PACA	1
Lymphoma	2
NSCLC	5
PRAD	3
CNSC	0
CRC	10
OV	4
BLCA	33
BSTC	7
CNSC	1
CNSC	1
HCC	12
RCC	6
RCC	1
CNSC	1
EGAC	3
Lymphoma	10
PNET	0
PACA	4
HCC	14
RCC	5
OV	7
HCC	9
PACA	4
CNSC	0
CNSC	0
RCC	2
HCC	6
HCC	15
PACA	1
CRC	9
THCA	0
PRAD	1
CNSC	4
RCC	0
UCEC	6
CNSC	0
PACA	3
HCC	5
EGAC	19
PRAD	2
NSCLC	29
CLL	0
CNSC	0
CNSC	3
HCC	4
PRAD	3
NSCLC	14
RCC	18
HCC	6
OV	6
Lymphoma	3
PRAD	2
PACA	2
HNSC	17
OV	8
HCC	7
HCC	14
CRC	16
CRC	5
PNET	3
CNSC	1
RCC	5
CRC	2
BLCA	9
PACA	2
HNSC	4
OV	19
RCC	3
HCC	11
EGAC	7
CNSC	0
CNSC	0
PNET	5
BRCA	6
BSTC	4
CLL	1
NSCLC	33
NSCLC	9
PACA	5
RCC	9
CNSC	2
CNSC	3
CNSC	6
HCC	11
RCC	1
EGAC	12
OV	5
THCA	3
HCC	4
Lymphoma	1
PNET	1
EGAC	17
PRAD	1
RCC	1
Lymphoma	26
PRAD	2
HCC	9
EGAC	1
RCC	5
Cholangio	13
CLL	2
CNSC	0
CNSC	0
BRCA	6
EGAC	9
PACA	2
CNSC	0
BSTC	5
BRCA	12
EGAC	5
PACA	5
RCC	4
CNSC	0
CRC	12
RCC	10
HCC	3
NSCLC	1
OV	5
CNSC	0
PACA	4
OV	9
Cholangio	4
EGAC	28
CLL	0
RCC	4
PACA	3
RCC	8
BRCA	14
RCC	1
BSTC	1
