CDS	UTR	IGR	Intron	ncRNA	HSRE
0	0.927971	0	0.144245	0	0
0	0	0	0.144245	0	0
0.423003	0	0	0	0.279819	0.514013252
1.103465044	0.463985	0.794809	0.144245	0	0
0.423003	0	0	0	0.279819	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0.927971	0	0.28849	0	0
0	0	0.635847	1.062190755	0.559638	0.514013252
0.846006	0	0	0	0	0
0.423003	0.927971	0.158962	0.28849	0.279819	0
0	0	0.317924	0.144245	0	0.212983257
0.423003	0	0.635847	0.865469	0.839457	0.991134507
0.846006	0	0.476885	0.144245	0	0
0	0	0.317924	0	0	0
0.423003	0.927971	0.953771	0.865469	1.048938744	0.911953261
0	0	0.158962	0.28849	0.279819	0.514013252
0.423003	0.463985	0.317924	0	0.279819	0.212983257
0.423003	0.927971	1.242685507	1.273042962	1.048938744	0.911953261
0	0	0.476885	0.28849	0	0
0	0	0.158962	0.144245	0	0.212983257
0	0	0.317924	0	0	0.690104511
0.423003	0	0.794809	0.28849	0	0.212983257
0	0	0.317924	0.144245	0	0.514013252
0	0	0	0	0	0.212983257
0	0	1.046389797	0.28849	0.279819	0.212983257
0	0.463985	0.158962	0	0	0.514013252
0	1.143626755	1.201293318	0.721224	0.839457	0.690104511
0	0	1.431741597	1.004196657	1.145845652	1.058081297
1.103465044	1.143626755	0.476885	0.576979	0.279819	0.911953261
0.846006	0.463985	0.794809	0.28849	0.559638	0.212983257
0	0	0.317924	0.144245	0	0.514013252
0.423003	0.463985	0.953771	0.432734	0.279819	0.212983257
1.667735853	2.028233608	1.972144959	2.004196657	1.789300022	1.514013252
1.471441341	1.780447653	1.581503649	1.636221019	1.145845652	0.991134507
0.846006	0	0.953771	0.865469	0	0.690104511
0.846006	0	0.635847	0.28849	0.279819	0.690104511
0	0.463985	0.158962	0.28849	0.279819	0.212983257
0.423003	0	0.476885	0.432734	0.279819	0.514013252
0	0	0	0	0	0
0.423003	0	0.635847	0.28849	0.839457	0.514013252
0	0	0.158962	0	0	0
0.846006	0.463985	1.155536435	0.865469	0	0.815043248
0	0	0.158962	0	0	0
0	0	0	0	0	0
0	0	0.635847	0.28849	0.279819	1.058081297
0	0	0	0.144245	0.279819	0
0.846006	0	0	0	0.279819	0
0.423003	0	0.317924	0.432734	0.279819	0.212983257
0	0	0.158962	0	0	0.212983257
0	0	0.953771	0.721224	0.559638	0.514013252
0.423003	0.927971	1.201293318	0.721224	0.839457	1.292164503
1.103465044	0.463985	1.242685507	1.113341605	0.839457	1.167225766
0	0	0.158962	0	0	0
0	0.463985	0	0	0.279819	0
0.423003	0	0.158962	0	0	0.514013252
0	0	0	0	0	0.212983257
